,actor_name,actor_facebook_likes,actor_oscar_nom
0,Tom Hardy,27000.0,1
1,J.K. Simmons,24000.0,1
2,Giancarlo Giannini,451.0,1
3,Liam Neeson,14000.0,1
4,Hugh Jackman,20000.0,1
5,Benedict Cumberbatch,19000.0,1
6,Jake Gyllenhaal,15000.0,1
7,Harrison Ford,11000.0,1
8,Jim Broadbent,1000.0,1
9,Matthew McConaughey,11000.0,1
10,Sam Shepard,820.0,1
11,Mark Rylance,535.0,1
12,Salma Hayek,4000.0,1
13,Alfre Woodard,1000.0,1
14,Chazz Palminteri,979.0,1
15,Oprah Winfrey,852.0,1
16,James Franco,11000.0,1
17,Bill Murray,13000.0,1
18,Haley Joel Osment,3000.0,1
19,Don Cheadle,3000.0,1
20,Bob Hoskins,5000.0,1
21,F. Murray Abraham,670.0,1
22,Anna Kendrick,10000.0,1
23,Steve Carell,7000.0,1
24,Albert Brooks,745.0,1
25,Frank Langella,903.0,1
26,Charlotte Rampling,844.0,1
27,Rami Malek,3000.0,1
28,Quvenzhané Wallis,2000.0,1
29,Eileen Brennan,1000.0,1
30,Robert Forster,889.0,1
31,Armin Mueller-Stahl,294.0,1
32,Rosie Perez,919.0,1
33,Candice Bergen,545.0,1
34,Demián Bichir,749.0,1
35,Virginia Madsen,913.0,1
36,Sam Waterston,849.0,1
37,Daniel Kaluuya,219.0,1
38,Imelda Staunton,579.0,1
39,Andrew Garfield,10000.0,1
40,Sally Kirkland,433.0,1
41,Lorraine Bracco,472.0,1
42,Catherine Deneuve,964.0,1
43,Stephen Rea,327.0,1
44,Mira Sorvino,978.0,1
45,Carol Kane,636.0,1
46,Jennifer Jason Leigh,1000.0,1
47,Mo'Nique,940.0,1
48,Kathleen Quinlan,551.0,1
49,Stockard Channing,944.0,1
50,Tatum O'Neal,288.0,1
51,Keisha Castle-Hughes,446.0,1
52,Cicely Tyson,907.0,1
53,Richard E. Grant,554.0,1
54,David Paymer,372.0,1
55,James Coburn,773.0,1
56,George Kennedy,3000.0,1
57,Joan Plowright,330.0,1
58,Elizabeth McGovern,553.0,1
59,Jackie Gleason,491.0,1
60,Ryan O'Neal,385.0,1
61,Rip Torn,826.0,1
62,Woody Allen,11000.0,1
63,Lena Olin,541.0,1
64,Lee Remick,264.0,1
65,Frank Finlay,338.0,1
66,Tom Berenger,854.0,1
67,Minnie Driver,893.0,1
68,Seymour Cassel,327.0,1
69,Rock Hudson,638.0,1
70,Dean Stockwell,936.0,1
71,Peter Firth,141.0,1
72,Janet Leigh,606.0,1
73,Mako,691.0,1
74,Debbie Reynolds,786.0,1
75,Kristin Scott Thomas,1000.0,1
76,Jennifer Hudson,549.0,1
77,Ava Gardner,715.0,1
78,Brenda Fricker,214.0,1
79,Hal Holbrook,826.0,1
80,Bérénice Bejo,996.0,1
81,Linda Blair,931.0,1
82,Lily Tomlin,718.0,1
83,Lesley Manville,149.0,1
84,Kathleen Turner,899.0,1
85,Burt Young,683.0,1
86,David Niven,490.0,1
87,Melanie Griffith,537.0,1
88,Louise Fletcher,425.0,1
89,John Cassavetes,917.0,1
90,Sophie Okonedo,460.0,1
91,Peter Fonda,402.0,1
92,Cliff Robertson,754.0,1
93,Isabelle Huppert,678.0,1
94,Topol,402.0,1
95,Don Ameche,392.0,1
96,Robert Redford,0.0,1
97,Mary Elizabeth Mastrantonio,638.0,1
98,Telly Savalas,803.0,1
99,Michael J. Pollard,206.0,1
100,Rita Moreno,804.0,1
101,Katharine Ross,640.0,1
102,Ed Wynn,382.0,1
103,Ruby Dee,782.0,1
104,Gene Tierney,535.0,1
105,Robert Shaw,559.0,1
106,Judith Anderson,197.0,1
107,Marlee Matlin,847.0,1
108,Rachel Griffiths,578.0,1
109,Hattie McDaniel,503.0,1
110,Fernanda Montenegro,119.0,1
111,Brenda Vaccaro,183.0,1
112,Diahann Carroll,426.0,1
113,Lee Marvin,756.0,1
114,Catalina Sandino Moreno,280.0,1
115,Donna Reed,488.0,1
116,Burl Ives,253.0,1
117,Shirley Jones,556.0,1
118,Teri Garr,481.0,1
119,Adriana Barraza,85.0,1
120,Danny Aiello,388.0,1
121,Jean Arthur,319.0,1
122,Paulette Goddard,309.0,1
123,Timothy Hutton,501.0,1
124,Ray Milland,287.0,1
125,Spring Byington,94.0,1
126,Norma Aleandro,24.0,1
127,Ginger Rogers,610.0,1
128,Carol Channing,387.0,1
129,Lillian Gish,436.0,1
130,Bruce Davison,505.0,1
131,Randy Quaid,695.0,1
132,Felicity Huffman,508.0,1
133,Gabourey Sidibe,906.0,1
134,Ned Beatty,467.0,1
135,Cathy Moriarty,394.0,1
136,Amy Ryan,423.0,1
137,Robert Vaughn,542.0,1
138,Klaus Maria Brandauer,172.0,1
139,Robert Mitchum,1000.0,1
140,Eva Marie Saint,649.0,1
141,Olympia Dukakis,345.0,1
142,June Squibb,344.0,1
143,Art Carney,154.0,1
144,Dan O'Herlihy,128.0,1
145,Diana Ross,295.0,1
146,Carroll Baker,208.0,1
147,Mary J. Blige,269.0,1
148,Elliott Gould,471.0,1
149,Mary Astor,185.0,1
150,Amy Irving,194.0,1
151,Mare Winningham,482.0,1
152,Michael Lerner,230.0,1
153,Ron Moody,275.0,1
154,Lesley Ann Warren,296.0,1
155,Emmanuelle Riva,432.0,1
156,Denholm Elliott,249.0,1
157,Frederic Forrest,236.0,1
158,Mary Tyler Moore,524.0,1
159,Barbara Hershey,618.0,1
160,Glynis Johns,279.0,1
161,George Chakiris,271.0,1
162,George Sanders,333.0,1
163,Jeanne Crain,135.0,1
164,Katy Jurado,119.0,1
165,Kevin McCarthy,403.0,1
166,William Hickey,246.0,1
167,Susannah York,269.0,1
168,Lionel Barrymore,275.0,1
169,Sessue Hayakawa,119.0,1
170,Lila Kedrova,16.0,1
171,Jack Albertson,177.0,1
172,Laurie Metcalf,549.0,1
173,Diana Scarwid,157.0,1
174,Ben Johnson,230.0,1
175,Michael Douglas,0.0,1
176,Richard Jaeckel,102.0,1
177,Michael O'Keefe,238.0,1
178,Mariel Hemingway,288.0,1
179,Bessie Love,28.0,1
180,Anne Archer,249.0,1
181,John Ireland,86.0,1
182,Trevor Howard,98.0,1
183,Gloria Stuart,794.0,1
184,Judd Hirsch,535.0,1
185,Ruth Negga,648.0,1
186,Tom Hulce,521.0,1
187,Jackie Cooper,420.0,1
188,Rachel Roberts,201.0,1
189,Sean Connery,0.0,1
190,Tom Conti,181.0,1
191,Martin Balsam,191.0,1
192,Timothée Chalamet,85.0,1
193,Theodore Bikel,244.0,1
194,Paul Winfield,255.0,1
195,Russ Tamblyn,228.0,1
196,Olivia Colman,583.0,1
197,Pauline Collins,123.0,1
198,Samantha Eggar,104.0,1
199,Jack Wild,139.0,1
200,Ralph Bellamy,199.0,1
201,Alan Bates,122.0,1
202,Sandy Dennis,146.0,1
203,Amy Madigan,221.0,1
204,Paul Lukas,51.0,1
205,Adolphe Menjou,99.0,1
206,Cornel Wilde,132.0,1
207,Beatrice Straight,75.0,1
208,Victor Buono,158.0,1
209,Billie Burke,357.0,1
210,Kim Hunter,114.0,1
211,Susan Tyrrell,147.0,1
212,Stuart Whitman,180.0,1
